date,time,abbreviation_canton_and_fl,ncumul_tested,ncumul_conf,ncumul_hosp,ncumul_ICU,ncumul_vent,ncumul_released,ncumul_deceased,source
2020-03-27,15:00,AG,,364,50,12,10,,3,Scraper for AG at 2020-03-29T12:05:12+02:00 using https://www.ag.ch/de/themen_1/coronavirus_2/alle_ereignisse/alle_ereignisse_1.jsp
2020-03-28,18:00,AI,,13,,,,,,Scraper for AI at 2020-03-29T12:05:17+02:00 using https://www.ai.ch/themen/gesundheit-alter-und-soziales/gesundheitsfoerderung-und-praevention/uebertragbare-krankheiten/coronavirus
2020-03-29,08:00,AR,,48,,,,,2,Scraper for AR at 2020-03-29T12:05:23+02:00 using https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/
2020-03-29,,BE,,798,,,,,10,Scraper for BE at 2020-03-29T12:05:26+02:00 using https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html
2020-03-28,,BL,,502,,,,,5,Scraper for BL at 2020-03-29T12:05:29+02:00 using https://www.statistik.bl.ch/files/sites/Grafiken/COVID19/Grafik_COVID19_BL_Linie.htm
2020-03-29,10:00,BS,,609,,,,,,"Scraper for BS at 2020-03-29T12:05:41+02:00 using https://www.gd.bs.ch/, https://www.gd.bs.ch//nm/2020-tagesbulletin-coronavirus-609-bestaetigte-faelle-im-kanton-basel-stadt-gd.html"
2020-03-29,,FR,,442,76,,,,16,Scraper for FR at 2020-03-29T12:05:46+02:00 using https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton
2020-03-27,12:00,GE,,1924,313,54,,,23,Scraper for GE at 2020-03-29T12:05:56+02:00 using https://www.ge.ch/document/point-coronavirus-maladie-covid-19/telecharger
2020-03-28,13:30,GL,,47,3,,,,,Scraper for GL at 2020-03-29T12:06:03+02:00 using https://www.gl.ch/verwaltung/finanzen-und-gesundheit/gesundheit/coronavirus.html/4817
2020-03-27,,GR,,409,52,,,,9,"Scraper for GR at 2020-03-29T12:06:14+02:00 using https://www.gr.ch/DE/institutionen/verwaltung/djsg/ga/coronavirus/info/Seiten/Start.aspx, https://www.gr.ch/DE/institutionen/verwaltung/djsg/ga/coronavirus/_layouts/15/GenericDataFeed/feed.aspx?PageID=26&ID=g_1175d522_e609_4287_93af_d14c9efd5218&FORMAT=JSONRAW"
2020-03-28,16:00,JU,,118,23,5,,,,"Scraper for JU at 2020-03-29T12:06:22+02:00 using https://www.jura.ch/fr/Autorites/Coronavirus/Accueil/Coronavirus-Informations-officielles-a-la-population-jurassienne.html, https://www.jura.ch/fr/Autorites/Coronavirus/Chiffres-H-JU/Evolution-des-cas-COVID-19-dans-le-Jura.html"
2020-03-28,11:00,LU,,317,,,,,4,Scraper for LU at 2020-03-29T12:06:27+02:00 using https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus
2020-03-28,14:00,NE,,311,,,,,6,Scraper for NE at 2020-03-29T12:06:41+02:00 using https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Pages/Coronavirus.aspx
2020-03-28,15:30,NW,,55,,,,,0,Scraper for NW at 2020-03-29T12:06:45+02:00 using https://www.nw.ch/gesundheitsamtdienste/6044
2020-03-27,,OW,,37,,,,,,Scraper for OW at 2020-03-29T12:06:50+02:00 using https://www.ow.ch/de/verwaltung/dienstleistungen/?dienst_id=5962
2020-03-29,,SG,,365,,,,,5,Scraper for SG at 2020-03-29T12:06:57+02:00 using https://www.sg.ch/tools/informationen-coronavirus.html
2020-03-29,08:00,SH,,40,,,,,,Scraper for SH at 2020-03-29T12:07:05+02:00 using https://sh.ch/CMS/content.jsp?contentid=3209198&language=DE&_=1584807070095
2020-03-29,00:00,SO,,190,,,,,,Scraper for SO at 2020-03-29T12:07:08+02:00 using https://corona.so.ch/
2020-03-29,,SZ,,128,,,,33,2,Scraper for SZ at 2020-03-29T12:07:13+02:00 using https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-03-29,,TG,,138,,,,,,Scraper for TG at 2020-03-29T12:07:19+02:00 using https://www.tg.ch/news/fachdossier-coronavirus.html/10552
2020-03-29,08:00,TI,,1837,385,69,60,,93,"Scraper for TI at 2020-03-29T12:07:32+02:00 using https://www4.ti.ch/dss/dsp/covid19/home/, https://www4.ti.ch/area-media/comunicati/, https://www4.ti.ch/area-media/comunicati/dettaglio-comunicato/?NEWS_ID=187538&tx_tichareamedia_comunicazioni%5Baction%5D=show&tx_tichareamedia_comunicazioni%5Bcontroller%5D=Comunicazioni&cHash=736a7f1a780ed9bdb1d8e45f8a0326ff"
2020-03-27,12:00,UR,,48,7,,,3,0,Scraper for UR at 2020-03-29T12:07:46+02:00 using https://www.ur.ch/themen/2962
2020-03-27,,VD,,2745,370,,,174,48,Scraper for VD at 2020-03-29T12:07:47+02:00 using https://api.datawrapper.de/v3/charts/tr5bJ/data
2020-03-28,,VS,,902,,,,,21,Scraper for VS at 2020-03-29T12:08:06+02:00 using https://www.vs.ch/de/web/coronavirus
2020-03-27,18:00,ZG,,101,,,,18,1,Scraper for ZG at 2020-03-29T12:08:10+02:00 using https://www.zg.ch/behoerden/gesundheitsdirektion/amt-fuer-gesundheit/corona
2020-03-28,14:00,ZH,,1720,187,,42,,15,Scraper for ZH at 2020-03-29T12:08:18+02:00 using https://gd.zh.ch/internet/gesundheitsdirektion/de/themen/coronavirus.html
